id	kosha_layer	kosha_english	kosha_domain	sub_category	scenario	intensity	trigger_type	recommended_technique	student_profile_tag	context_notes
425	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Joy Deficit	Activities once loved (gaming, music) feel pointless now	High	Chronic	Anhedonia protocol + Anandamaya + Behavioral activation	Engineering_2nd_Year	Recreational anhedonia; MDD core symptom
426	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Joy Deficit	Unable to enjoy a vacation because anxious thoughts follow everywhere	High	Chronic	Anxiety mobility + Anandamaya presence + Mindfulness	Engineering_3rd_Year	Anxiety generalizing to relaxation space
427	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Joy Deficit	Watching others enjoy college life from the outside feeling excluded	High	Chronic	Belonging PFA + Anandamaya inclusion + Social skills	Engineering_1st_Year	Social observer role; outsider-inside campus
428	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Joy Deficit	The only moments of joy are when proving someone wrong	High	Chronic	Reactive joy pattern + Anandamaya unconditional joy work	Engineering_2nd_Year	Competitive-based joy; fragile and unsustainable
429	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Existential Crisis	Existential dread about death keeping awake at 3 AM	High	Chronic	Terror management + Anandamaya meaning + Existential PFA	Engineering_2nd_Year	Mortality salience; existential anxiety
430	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Existential Crisis	Feeling that the universe is indifferent and nothing truly matters	High	Chronic	Nihilism PFA + Anandamaya relational meaning + Frankl	Science_3rd_Year	Existential nihilism; meaning system collapsed
431	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Existential Crisis	Questioning free will after learning about determinism in philosophy class	Medium	Chronic	Philosophical integration + Anandamaya agency framing	Science_2nd_Year	Philosophical anxiety; over-application of theory
432	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Existential Crisis	Deep existential loneliness despite being physically surrounded by people	High	Chronic	Existential isolation PFA + Anandamaya connection + Counseling	Engineering_2nd_Year	Core existential condition; needs deep therapeutic work
433	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Existential Crisis	Feeling like a meaningless cog in the capitalist machine studying engineering	High	Chronic	Agency + Anandamaya self-authorship + Meaning reclamation	Engineering_3rd_Year	Systemic alienation; Marxian existential distress
434	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Connection & Love	Longing for deep connection in a place filled with surface-level chat	High	Chronic	Depth-seeking support + Anandamaya relational meaning	Engineering_2nd_Year	Loneliness despite proximity; depth vs breadth need
435	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Connection & Love	Feeling unloved and unseen in a large campus where no one notices	High	Chronic	Visibility PFA + Anandamaya self-love + Metta practice	Engineering_1st_Year	Invisibility distress; attachment need unmet
436	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Connection & Love	Desperate to be in a relationship because being alone feels unbearable	High	Chronic	Attachment anxiety + Anandamaya self-sufficiency + Metta	Engineering_2nd_Year	Anxious attachment; relationship as anxiety management
437	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Connection & Love	Grieving a friendship that ended without any explanation	High	Acute	Friendship grief PFA + Anandamaya closure + Self-compassion	Engineering_2nd_Year	Disenfranchised social grief; ghosting response
438	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Connection & Love	Unable to trust anyone enough to let them in despite wanting connection	High	Chronic	Attachment trauma + Anandamaya safe-connection building	Engineering_3rd_Year	Avoidant attachment pattern; trust deficit
439	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Transcendence & Flow	Never experiencing flow or being fully absorbed in anything	High	Chronic	Flow state coaching + Anandamaya + Csikszentmihalyi model	Engineering_2nd_Year	Flow deficit; anhedonia or interest mismatch
440	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Transcendence & Flow	Brief moments of bliss during nature walks that vanish immediately	Medium	Chronic	Anandamaya extension practices + Savoring + Mindfulness	Engineering_3rd_Year	Transient positive state; teach extension and savoring
441	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Transcendence & Flow	Music listening used to cause chills; now it triggers nothing	High	Chronic	Musical anhedonia + Anandamaya + Depression screening	Arts_2nd_Year	Loss of musical chills; MDD marker
442	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Transcendence & Flow	Sports match causing genuine flow but shame about not studying	Medium	Chronic	Guilt-free joy + Anandamaya balance + Time management	Engineering_2nd_Year	Guilt contaminating positive experience
443	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Transcendence & Flow	Meditation producing fear instead of peace	High	Acute	Meditation-induced anxiety + Grounding alternative + Manomaya	Science_2nd_Year	Meditation-induced relaxation-induced anxiety (MIRA)
444	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Gratitude & Contentment	Everything feels insufficient no matter what is achieved	High	Chronic	Gratitude practice + Anandamaya contentment + CBT	Engineering_Final_Year	Insatiable achievement pattern; hedonic treadmill
445	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Gratitude & Contentment	Unable to enjoy the present because always planning or worrying	High	Chronic	Mindful presence + Anandamaya now-moment + Pranayama	Engineering_3rd_Year	Future-orientation blocking present joy
446	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Gratitude & Contentment	Feeling guilty when happy because of pressure to work harder	Medium	Chronic	Joy permission + Anandamaya + Vijnanamaya values work	Engineering_2nd_Year	Happiness guilt; productivity-conditional joy
447	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Gratitude & Contentment	Taking everything in life for granted and feeling empty because of it	Medium	Chronic	Gratitude activation + Anandamaya + Savoring practices	Engineering_3rd_Year	Gratitude deficit; entitlement pattern
448	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Gratitude & Contentment	Content during meditation but unable to carry that peace into daily life	Medium	Chronic	Anandamaya integration + Mindfulness-in-action + Micro-practices	Engineering_2nd_Year	Practice-life gap; needs micro-mindfulness integration
449	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Purpose & Legacy	Fear that one's life will not make any positive difference	High	Chronic	Legacy framing + Anandamaya purpose + Strengths inventory	Engineering_Final_Year	Legacy anxiety; generativity development stage
450	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Purpose & Legacy	Desire to work for social impact but in a system rewarding only profit	High	Chronic	Social purpose integration + Anandamaya values + Career hybrid	Engineering_Final_Year	Impact vs income conflict; purpose-career alignment
451	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Purpose & Legacy	Feeling called toward a completely unconventional career and terrified	High	Chronic	Authentic calling + Anandamaya courage + Systematic exploration	Engineering_3rd_Year	Non-traditional calling anxiety; needs brave exploration
452	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Purpose & Legacy	Wanting to be remembered but not knowing for what	Medium	Chronic	Strengths + Anandamaya legacy work + Ikigai framework	Engineering_3rd_Year	Vague legacy desire; needs operationalizing
453	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Purpose & Legacy	Feeling that technical engineering work is not the true calling	High	Chronic	Calling vs career + Anandamaya + Vocational counseling	Engineering_2nd_Year	Calling-role mismatch; existential vocational crisis
454	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Awe & Wonder	Science destroying wonder instead of enhancing it	Medium	Chronic	Science-wonder integration + Anandamaya awe cultivation	Science_3rd_Year	Reductionism-induced wonder loss; reintegrate awe
455	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Awe & Wonder	Feeling awe during astronomy class but depression all other times	High	Chronic	Awe amplification + Anandamaya + Depression management	Science_2nd_Year	Selective positive affect; build on existing peak
456	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Awe & Wonder	Not remembering the last time something truly amazed or inspired one	High	Chronic	Inspiration reactivation + Anandamaya + Novelty prescription	Engineering_3rd_Year	Awe deficit; dull repetition of routine
457	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Awe & Wonder	Star-gazing bringing peace unlike anything on campus	Low	Positive	Anandamaya anchor expansion + Transfer to daily practice	Engineering_2nd_Year	Protective positive experience; build on it
458	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Awe & Wonder	Great music moving one to tears showing intact capacity for bliss	Low	Positive	Anandamaya music anchor + Savoring + Emotional reservoir build	Arts_1st_Year	Protective positive affect; preserve and expand
